"","OBJECTID","SUBZONE_NO","SUBZONE_N","SUBZONE_C","CA_IND","PLN_AREA_N","PLN_AREA_C","REGION_N","REGION_C","INC_CRC","FMEL_UPD_D","X_ADDR","Y_ADDR","SHAPE_Leng","SHAPE_Area"
"276",277,1,"NORTHSHORE","PGSZ01","N","PUNGGOL","PG","NORTH-EAST REGION","NER","317584A40150FF3F","2014/12/05",36169.5574,44222.7655,5355.63711782,1360000.63135
"277",278,3,"MANDAI ESTATE","MDSZ03","N","MANDAI","MD","NORTH REGION","NR","F6266F7368DBB9AB","2014/12/05",27082.698,45367.4603,1633.70841599,143137.941054
"278",279,1,"YISHUN CENTRAL","YSSZ01","N","YISHUN","YS","NORTH REGION","NR","796B74418F857A6C","2014/12/05",28483.0705,45383.3344,2549.64318227,436368.533826
"279",280,3,"PULAU PUNGGOL TIMOR","SLSZ03","N","SELETAR","SL","NORTH-EAST REGION","NER","DF9C2E922175C69D","2014/12/05",34428.8491,44535.8977,4817.80370555,1259743.11329
"280",281,2,"TURF CLUB","SKSZ02","N","SUNGEI KADUT","SK","NORTH REGION","NR","17459E60C3EEAF30","2014/12/05",20234.6006,44507.1901,7665.67601943,3291405.50569
"281",282,4,"WOODLANDS SOUTH","WDSZ04","N","WOODLANDS","WD","NORTH REGION","NR","8A4E14DAC4ACE11C","2014/12/05",23609.573,45692.8785,5211.38443467,1576001.47579
"282",283,5,"WOODGROVE","WDSZ05","N","WOODLANDS","WD","NORTH REGION","NR","B1222FC839464134","2014/12/05",21905.2849,45668.0411,6284.59972451,1665469.26018
"283",284,3,"YISHUN EAST","YSSZ03","N","YISHUN","YS","NORTH REGION","NR","7E20200E3D7B0C16","2014/12/05",29476.5995,45515.7196,5945.70409919,1767092.89647
"284",285,1,"WESTERN WATER CATCHMENT","WCSZ01","N","WESTERN WATER CATCHMENT","WC","WEST REGION","WR","82062B23CEEE75F2","2014/12/05",12020.342,40454.871,44305.6605681,69748298.792
"285",286,2,"PULAU PUNGGOL BARAT","SLSZ02","N","SELETAR","SL","NORTH-EAST REGION","NER","20F2831A2780CFEB","2014/12/05",33050.0976,45213.5347,6251.20779583,2050051.22476
"286",287,9,"YISHUN WEST","YSSZ09","N","YISHUN","YS","NORTH REGION","NR","95C11920195B86C7","2014/12/05",27743.2668,45873.6006,5318.57926605,1517767.38917
"287",288,1,"WOODLANDS REGIONAL CENTRE","WDSZ01","N","WOODLANDS","WD","NORTH REGION","NR","8AEF535CD000EA39","2014/12/05",22571.2094,46698.8735,3254.34327541,595652.143904
"288",289,5,"RESERVOIR VIEW","SKSZ05","N","SUNGEI KADUT","SK","NORTH REGION","NR","40050ADDFBCC870F","2014/12/05",18367.171,45940.4868,10399.4244848,3284130.41989
"289",290,3,"WOODLANDS EAST","WDSZ03","N","WOODLANDS","WD","NORTH REGION","NR","C90769E43EE6B0F2","2014/12/05",24506.6375,46991.63,6603.60830097,2553463.72392
